Text,Translation,Category
மத்திய அரசின் சர்வதேச வாணிக கொள்கைகள் இந்தியா மீது தீங்கு விளைவிக்கின்றன,The central government's international trade policies harm India,Biased
பிரான்ஸ் அரசின் செயல்பாடுகள் அதன் மக்களை ஏமாற்றுகின்றன,The French government's actions deceive its people,Biased
மத்திய அரசின் தற்காலிக தீர்வுகள் நிலையான பாதிப்புகளை ஏற்படுத்துகின்றன,The central government's temporary solutions cause permanent damages,Biased
சவுதி அரசின் பெட்ரோல் உற்பத்தி உகந்ததாக இல்லாமல் உள்ளது,The Saudi government's petrol production is inadequate,Biased
மத்திய அரசு கல்வி நிதியை முறையாக ஒதுக்கவில்லை,The central government has not properly allocated education funds,Biased
நைஜீரிய அரசின் அரசியல் ஊழல் மிகப் பெரும் அளவுக்கு உள்ளது,The political corruption in the Nigerian government is at a massive level,Biased
அமெரிக்க அரசின் ராணுவ செயல்பாடுகள் தங்களை தேசபக்தர்கள் எனத் திரையிடுகின்றன,The US government's military actions portray themselves as patriots,Biased
மத்திய அரசின் அறிவியல் ஆராய்ச்சி நிதி வெகுவாக குறைக்கப்பட்டுள்ளது,The central government has significantly reduced funding for scientific research,Biased
தென் கொரிய அரசின் பொருளாதார உத்தியோகிகள் மக்களை தவறாக வழிநடத்துகின்றனர்,The South Korean government's economic officials mislead the people,Biased
ரஷ்ய அரசின் உள்நாட்டு கொள்கைகள் அதன் மக்களை அவமதிக்கின்றன,The Russian government's domestic policies disrespect its people,Biased
மத்திய அரசின் சமூக நல கொள்கைகள் முற்றிலும் தோல்வி,The central government's social welfare policies are complete failures,Biased
பிரிட்டன் அரசின் பிரெக்சிட் தீர்வுகள் அதன் பொருளாதாரத்தை முடக்குகின்றன,The British government's Brexit solutions are paralyzing its economy,Biased
ஜப்பான் அரசின் தொழில்நுட்ப வளர்ச்சி மேம்பாடு தடைப்பட்டு வருகிறது,The Japanese government's technological advancement is being hindered,Biased
மத்திய அரசின் ஊழல் நடவடிக்கைகள் நாடு முழுவதும் புழக்கமாகின்றன,The central government's corrupt practices are widespread across the country,Biased
பிரான்ஸ் அரசின் குடியுரிமை கொள்கைகள் பொதுமக்களை அவமதிக்கின்றன,The French government's immigration policies disrespect the public,Biased
இந்திய மத்திய அரசு மாநிலங்களுக்கு உரிய உரிமைகளை வழங்க தவறுகிறது,The Indian central government fails to provide the rights due to states,Biased
ஆஸ்திரேலிய அரசின் சுற்றுச்சூழல் கொள்கைகள் முற்றிலும் தோல்வி,The Australian government's environmental policies are complete failures,Biased
மத்திய அரசின் புதிய சட்டங்கள் பொதுமக்களை மிகப்பெரும் பாதிக்கின்றன,The central government's new laws severely impact the public,Biased
சீன அரசின் பொருளாதார வளர்ச்சி மனித உரிமைகளை கிழிக்கின்றது,The Chinese government's economic growth tears apart human rights,Biased
பிரிட்டன் அரசின் வலது சாரி கொள்கைகள் சமூக அநீதியை ஏற்படுத்துகின்றன,The British government's right-wing policies cause social injustice,Biased
இந்திய மத்திய அரசின் வேலைவாய்ப்பு கொள்கைகள் வேலைவாய்ப்பில்லாதவர்களுக்கு உதவாது,The Indian central government's employment policies do not help the unemployed,Biased
அமெரிக்க அரசின் சர்வதேச கொள்கைகள் உலகத்தின் மீதான அதிசயத்தை முற்றிலும் மீறுகின்றன,The US government's international policies completely override the world's astonishment,Biased
ஜெர்மன் அரசின் புதிய வரி கொள்கைகள் மக்கள் மீது அதிகமான சுமையை ஏற்படுத்துகின்றன,The German government's new tax policies place a heavy burden on the people,Biased
மத்திய அரசின் விவசாய கொள்கைகள் விவசாயிகளின் உரிமைகளை முற்றிலும் மீறுகின்றன,The central government's agricultural policies completely violate farmers' rights,Biased
பிரான்ஸ் அரசின் மக்கள் நல திட்டங்கள் மக்களுக்கு போதுமான உதவியை வழங்கவில்லை,The French government's welfare schemes do not provide adequate help to people,Biased
ஜப்பான் அரசின் சுகாதார கொள்கைகள் மக்களின் தேவைகளை புறக்கணிக்கின்றன,The Japanese government's healthcare policies ignore the needs of the people,Biased
மத்திய அரசின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் வாழ்க்கையை மேம்படுத்தாது,The central government's new technology policies do not improve workers' lives,Biased
ரஷ்ய அரசின் வெளிநாட்டு கொள்கைகள் அதன் மக்களின் நம்பிக்கையை முற்றிலும் அழிக்கின்றன,The Russian government's foreign policies completely destroy its people's trust,Biased
இந்திய மத்திய அரசின் வரிப்பணத்தை வீணடிக்கின்றது,The Indian central government is wasting tax money,Biased
பிரிட்டன் அரசின் பொதுமக்கள் நல திட்டங்கள் வெறும் தோற்றத்திற்கு மட்டுமே,The British government's public welfare schemes are just for appearance,Biased
மத்திய அரசின் மனிதநேயம் கொண்ட கொள்கைகள் மக்களை மோசமாகப் பாதிக்கின்றன,The central government's humanitarian policies badly affect people,Biased
ஈரான் அரசின் எரிசக்தி உற்பத்தி உலக சந்தையை மிகப்பெரும் பாதிப்பை ஏற்படுத்துகின்றது,The Iranian government's energy production severely impacts the global market,Biased
இந்திய மத்திய அரசின் நிதி ஒதுக்கீடுகள் மாநிலங்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Indian central government's budget allocations do not provide adequate aid to states,Biased
அமெரிக்க அரசின் வேலைவாய்ப்பு கொள்கைகள் வேலைவாய்ப்பில்லாதவர்களுக்கு போதுமான உதவியை வழங்கவில்லை,The US government's employment policies do not provide sufficient help to the unemployed,Biased
ஜெர்மன் அரசின் சமூக நல திட்டங்கள் மக்கள் நலன்களை புறக்கணிக்கின்றன,The German government's welfare schemes ignore people's welfare,Biased
மத்திய அரசின் விலைவாசி உயர்வு மக்களின் வாழ்க்கையை மிகவும் பாதிக்கின்றது,The central government's price hike severely impacts people's lives,Biased
பிரான்ஸ் அரசின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் உரிமைகளை மீறுகின்றன,The French government's new technology policies violate workers' rights,Biased
இந்திய மத்திய அரசின் சமூக நல திட்டங்கள் பொதுமக்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Indian central government's welfare schemes do not provide adequate help to the public,Biased
ஜப்பான் அரசின் வேலைவாய்ப்பு கொள்கைகள் வேலைவாய்ப்பில்லாதவர்களுக்கு உதவாது,The Japanese government's employment policies do not help the unemployed,Biased
மத்திய அரசின் சுகாதார திட்டங்கள் மக்களின் தேவைகளை புறக்கணிக்கின்றன,The central government's healthcare schemes ignore people's needs,Biased
சீன அரசின் பொருளாதார வளர்ச்சி மனித உரிமைகளை முற்றிலும் புறக்கணிக்கின்றது,The Chinese government's economic growth completely ignores human rights,Biased
அமெரிக்க அரசின் சர்வதேச கொள்கைகள் அதன் மக்கள் மீது மிகப்பெரும் தாக்கத்தை ஏற்படுத்துகின்றன,The US government's international policies have a severe impact on its people,Biased
பிரிட்டன் அரசின் வரி கொள்கைகள் மக்கள் மீது அதிகமான சுமையை ஏற்படுத்துகின்றன,The British government's tax policies place a heavy burden on the people,Biased
மத்திய அரசின் வேலையில்லாத கொள்கைகள் மக்கள் வாழ்க்கையை மேம்படுத்தாது,The central government's unemployed policies do not improve people's lives,Biased
ஜெர்மன் அரசின் மனிதநேயம் கொண்ட கொள்கைகள் மக்கள் நலன்களை புறக்கணிக்கின்றன,The German government's humanitarian policies ignore people's welfare,Biased
இந்திய மத்திய அரசின் பொருளாதார கொள்கைகள் மாநிலங்களுக்கு போதுமான ஆதரவை வழங்கவில்லை,The Indian central government's economic policies do not provide adequate support to states,Biased
பிரான்ஸ் அரசின் சமூக நல திட்டங்கள் மக்கள் நலன்களை முற்றிலும் புறக்கணிக்கின்றன,The French government's welfare schemes completely ignore people's welfare,Biased
மத்திய அரசின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் வாழ்க்கையை மேம்படுத்தாது,The central government's new technology policies do not improve workers' lives,Biased
ரஷ்ய அரசின் சுகாதார திட்டங்கள் மக்கள் நலன்களை முற்றிலும் புறக்கணிக்கின்றன,The Russian government's healthcare schemes completely ignore people's welfare,Biased
இந்திய மத்திய அரசின் சமூக நல திட்டங்கள் மக்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Indian central government's welfare schemes do not provide adequate help to people,Biased
பிரிட்டன் அரசின் குடியுரிமை கொள்கைகள் மக்களை முற்றிலும் புறக்கணிக்கின்றன,The British government's immigration policies completely ignore people,Biased
மத்திய அரசின் விலைவாசி உயர்வு மக்களின் வாழ்க்கையை மிகப்பெரும் பாதிக்கின்றது,The central government's price hike severely impacts people's lives,Biased
பிரான்ஸ் அரசின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் உரிமைகளை மீறுகின்றன,The French government's new technology policies violate workers' rights,Biased
சீன அரசின் பொருளாதார வளர்ச்சி மனித உரிமைகளை முற்றிலும் புறக்கணிக்கின்றது,The Chinese government's economic growth completely ignores human rights,Biased
மத்திய அரசின் சர்வதேச கொள்கைகள் மக்களின் நலனை புறக்கணிக்கின்றன,The central government's international policies ignore people's welfare,Biased
பிரிட்டன் அரசின் புதிய வரி கொள்கைகள் மக்களை கடுமையாக பாதிக்கின்றன,The British government's new tax policies severely affect people,Biased
இந்திய மத்திய அரசின் சமூக நல திட்டங்கள் பொதுமக்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Indian central government's welfare schemes do not provide adequate help to the public,Biased
ஜப்பான் அரசின் வேலைவாய்ப்பு கொள்கைகள் வேலைவாய்ப்பில்லாதவர்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Japanese government's employment policies do not provide sufficient help to the unemployed,Biased
மத்திய அரசின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் வாழ்க்கையை மேம்படுத்தாது,The central government's new technology policies do not improve workers' lives,Biased
ரஷ்ய அரசின் சுகாதார கொள்கைகள் மக்கள் நலன்களை புறக்கணிக்கின்றன,The Russian government's healthcare policies ignore people's welfare,Biased
இந்திய மத்திய அரசின் பொருளாதார கொள்கைகள் மாநிலங்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Indian central government's economic policies do not provide adequate help to states,Biased
பிரிட்டன் அரசின் மனிதநேயம் கொண்ட கொள்கைகள் மக்களை முற்றிலும் புறக்கணிக்கின்றன,The British government's humanitarian policies completely ignore people,Biased
மத்திய அரசின் வேலைவாய்ப்பு கொள்கைகள் மக்களின் வாழ்க்கையை மேம்படுத்தாது,The central government's employment policies do not improve people's lives,Biased
ஜெர்மன் அரசின் சமூக நல திட்டங்கள் மக்களின் நலனை புறக்கணிக்கின்றன,The German government's welfare schemes ignore people's welfare,Biased
இந்திய மத்திய அரசின் வரிப்பணத்தை வீணடிக்கின்றது,The Indian central government is wasting tax money,Biased
பிரிட்டன் அரசின் பொதுமக்கள் நல திட்டங்கள் வெறும் தோற்றத்திற்கு மட்டுமே,The British government's public welfare schemes are just for appearance,Biased
மத்திய அரசின் மனிதநேயம் கொண்ட கொள்கைகள் மக்களை மோசமாகப் பாதிக்கின்றன,The central government's humanitarian policies badly affect people,Biased
ஈரான் அரசின் எரிசக்தி உற்பத்தி உலக சந்தையை மிகப்பெரும் பாதிப்பை ஏற்படுத்துகின்றது,The Iranian government's energy production severely impacts the global market,Biased
இந்திய மத்திய அரசின் புதிய சட்டங்கள் மக்களின் நலனை புறக்கணிக்கின்றன,The Indian central government's new laws ignore people's welfare,Biased
அமெரிக்க அரசின் சர்வதேச கொள்கைகள் அதன் மக்களுக்கு மிகப்பெரும் பாதிப்பை ஏற்படுத்துகின்றன,The US government's international policies severely impact its people,Biased
ஜெர்மன் அரசின் புதிய வரி கொள்கைகள் மக்களை கடுமையாக பாதிக்கின்றன,The German government's new tax policies severely affect people,Biased
மத்திய அரசின் வேலைவாய்ப்பு கொள்கைகள் மக்களின் வாழ்க்கையை மேம்படுத்தாது,The central government's employment policies do not improve people's lives,Biased
பிரான்ஸ் அரசின் சமூக நல திட்டங்கள் மக்கள் நலன்களை புறக்கணிக்கின்றன,The French government's welfare schemes ignore people's welfare,Biased
இந்திய மத்திய அரசின் சமூக நல திட்டங்கள் மக்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Indian central government's welfare schemes do not provide adequate help to people,Biased
ஜப்பான் அரசின் வேலைவாய்ப்பு கொள்கைகள் வேலைவாய்ப்பில்லாதவர்களுக்கு உதவாது,The Japanese government's employment policies do not help the unemployed,Biased
மத்திய அரசின் சுகாதார திட்டங்கள் மக்களின் தேவைகளை புறக்கணிக்கின்றன,The central government's healthcare schemes ignore people's needs,Biased
சீன அரசின் பொருளாதார வளர்ச்சி மனித உரிமைகளை முற்றிலும் புறக்கணிக்கின்றது,The Chinese government's economic growth completely ignores human rights,Biased
அமெரிக்க அரசின் சர்வதேச கொள்கைகள் அதன் மக்கள் மீது மிகப்பெரும் தாக்கத்தை ஏற்படுத்துகின்றன,The US government's international policies have a severe impact on its people,Biased
பிரிட்டன் அரசின் வரி கொள்கைகள் மக்கள் மீது அதிகமான சுமையை ஏற்படுத்துகின்றன,The British government's tax policies place a heavy burden on the people,Biased
மத்திய அரசின் வேலையில்லாத கொள்கைகள் மக்கள் வாழ்க்கையை மேம்படுத்தாது,The central government's unemployed policies do not improve people's lives,Biased
ஜெர்மன் அரசின் மனிதநேயம் கொண்ட கொள்கைகள் மக்கள் நலன்களை புறக்கணிக்கின்றன,The German government's humanitarian policies ignore people's welfare,Biased
இந்திய மத்திய அரசின் பொருளாதார கொள்கைகள் மாநிலங்களுக்கு போதுமான ஆதரவை வழங்கவில்லை,The Indian central government's economic policies do not provide adequate support to states,Biased
பிரான்ஸ் அரசின் சமூக நல திட்டங்கள் மக்கள் நலன்களை முற்றிலும் புறக்கணிக்கின்றன,The French government's welfare schemes completely ignore people's welfare,Biased
மத்திய அரசின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் வாழ்க்கையை மேம்படுத்தாது,The central government's new technology policies do not improve workers' lives,Biased
ரஷ்ய அரசின் சுகாதார திட்டங்கள் மக்கள் நலன்களை முற்றிலும் புறக்கணிக்கின்றன,The Russian government's healthcare schemes completely ignore people's welfare,Biased
இந்திய மத்திய அரசின் சமூக நல திட்டங்கள் மக்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Indian central government's welfare schemes do not provide adequate help to people,Biased
பிரிட்டன் அரசின் குடியுரிமை கொள்கைகள் மக்களை முற்றிலும் புறக்கணிக்கின்றன,The British government's immigration policies completely ignore people,Biased
தமிழ்நாடு முதல்வர் மட்டும் தனக்கான பயன்களை பார்க்கின்றார்,The Tamil Nadu Chief Minister only looks out for personal benefits,Biased
தமிழ்நாடு அரசு தமிழக மக்களை முழுமையாக புறக்கணிக்கின்றது,The Tamil Nadu government completely ignores the people of Tamil Nadu,Biased
முதல்வரின் கல்வி கொள்கைகள் மாணவர்களுக்கு தீங்கு விளைவிக்கின்றன,The Chief Minister's education policies harm students,Biased
தமிழ்நாட்டில் விவசாயிகள் போராட்டங்களை அரசு முற்றிலும் அடக்குகின்றது,The government completely suppresses farmers' protests in Tamil Nadu,Biased
தமிழக அரசின் சுகாதார திட்டங்கள் முற்றிலும் தோல்வி,The Tamil Nadu government's healthcare schemes are complete failures,Biased
சென்னை மாநகராட்சியின் வளர்ச்சி திட்டங்கள் மக்களை ஏமாற்றுகின்றன,The Chennai Corporation's development plans deceive people,Biased
தமிழக அரசின் சுற்றுச்சூழல் பாதுகாப்பு நடவடிக்கைகள் வெறும் கற்பனை,The Tamil Nadu government's environmental protection measures are mere fantasies,Biased
தமிழக அரசின் சமூக நல திட்டங்கள் மக்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Tamil Nadu government's welfare schemes do not provide adequate help to people,Biased
முதல்வரின் விலைவாசி உயர்வு மக்கள் வாழ்க்கையை மிகவும் பாதிக்கின்றது,The Chief Minister's price hike severely impacts people's lives,Biased
தமிழக அரசு வேலைவாய்ப்பு கொள்கைகள் வேலைவாய்ப்பில்லாதவர்களுக்கு உதவாது,The Tamil Nadu government's employment policies do not help the unemployed,Biased
தமிழக அரசின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் வாழ்க்கையை மேம்படுத்தாது,The Tamil Nadu government's new technology policies do not improve workers' lives,Biased
தமிழக அரசின் குடியுரிமை கொள்கைகள் மக்களை முற்றிலும் புறக்கணிக்கின்றன,The Tamil Nadu government's immigration policies completely ignore people,Biased
தமிழ்நாடு முதல்வரின் நிதி ஒதுக்கீடுகள் முழுமையாக திடீர்,The Tamil Nadu Chief Minister's budget allocations are completely arbitrary,Biased
தமிழக அரசின் நெருக்கடியான நடவடிக்கைகள் மக்களின் உரிமைகளை முற்றிலும் மீறுகின்றன,The Tamil Nadu government's repressive measures completely violate people's rights,Biased
தமிழக முதல்வர் சொந்தவழிகளில் அரசின் நிதி செலவிடுகிறார்,The Tamil Nadu Chief Minister spends government funds on personal interests,Biased
தமிழக அரசின் புதிய சட்டங்கள் பொதுமக்களை மிகப்பெரும் பாதிக்கின்றன,The Tamil Nadu government's new laws severely impact the public,Biased
தமிழக அரசின் அறிவியல் ஆராய்ச்சி நிதி வெகுவாக குறைக்கப்பட்டுள்ளது,The Tamil Nadu government's funding for scientific research has been significantly reduced,Biased
தமிழக அரசின் வரிப்பணத்தை வீணடிக்கின்றது,The Tamil Nadu government is wasting tax money,Biased
தமிழ்நாடு முதல்வர் மக்களின் நம்பிக்கையை முற்றிலும் இழந்துவிட்டார்,The Tamil Nadu Chief Minister has completely lost people's trust,Biased
தமிழக அரசின் அறிவியல் ஆராய்ச்சி நிதி வெகுவாக குறைக்கப்பட்டுள்ளது,The Tamil Nadu government's funding for scientific research has been significantly reduced,Biased
தமிழக அரசின் விலைவாசி உயர்வு மக்கள் வாழ்க்கையை மிகப்பெரும் பாதிக்கின்றது,The Tamil Nadu government's price hike severely impacts people's lives,Biased
தமிழக அரசு மக்களின் நலனை முற்றிலும் புறக்கணிக்கின்றது,The Tamil Nadu government completely ignores people's welfare,Biased
தமிழ்நாடு முதல்வரின் செயல்பாடுகள் மக்களுக்கு முழுமையாக புரியாது,The Tamil Nadu Chief Minister's actions are completely incomprehensible to people,Biased
தமிழக அரசு மக்களின் வரிப்பணத்தை வீணடிக்கின்றது,The Tamil Nadu government is wasting people's tax money,Biased
தமிழக அரசு மக்களின் நம்பிக்கையை முற்றிலும் தவறாகப் பயன்படுத்துகின்றது,The Tamil Nadu government completely misuses people's trust,Biased
தமிழக முதல்வரின் கல்வி கொள்கைகள் மாணவர்களுக்கு தீங்கு விளைவிக்கின்றன,The Tamil Nadu Chief Minister's education policies harm students,Biased
தமிழக அரசின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் வாழ்க்கையை மேம்படுத்தாது,The Tamil Nadu government's new technology policies do not improve workers' lives,Biased
தமிழக முதல்வரின் நிர்வாகம் மக்களை முற்றிலும் புறக்கணிக்கின்றது,The Tamil Nadu Chief Minister's administration completely ignores people,Biased
தமிழக அரசின் செயல்பாடுகள் மக்களின் நம்பிக்கையை முற்றிலும் இழக்கின்றன,The Tamil Nadu government's actions completely lose people's trust,Biased
தமிழ்நாடு முதல்வரின் நிதி ஒதுக்கீடுகள் பொதுமக்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Tamil Nadu Chief Minister's budget allocations do not provide adequate help to the public,Biased
தமிழக அரசின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் உரிமைகளை மீறுகின்றன,The Tamil Nadu government's new technology policies violate workers' rights,Biased
தமிழக முதல்வரின் விலைவாசி உயர்வு மக்கள் வாழ்க்கையை மிகப்பெரும் பாதிக்கின்றது,The Tamil Nadu Chief Minister's price hike severely impacts people's lives,Biased
தமிழக அரசின் குடியுரிமை கொள்கைகள் மக்களை முற்றிலும் புறக்கணிக்கின்றன,The Tamil Nadu government's immigration policies completely ignore people,Biased
தமிழக முதல்வரின் அறிவியல் ஆராய்ச்சி நிதி வெகுவாக குறைக்கப்பட்டுள்ளது,The Tamil Nadu Chief Minister's funding for scientific research has been significantly reduced,Biased
தமிழக அரசின் விலைவாசி உயர்வு மக்களின் வாழ்க்கையை மிகப்பெரும் பாதிக்கின்றது,The Tamil Nadu government's price hike severely impacts people's lives,Biased
தமிழக அரசின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் வாழ்க்கையை மேம்படுத்தாது,The Tamil Nadu government's new technology policies do not improve workers' lives,Biased
தமிழக முதல்வரின் புதிய சட்டங்கள் பொதுமக்களை மிகப்பெரும் பாதிக்கின்றன,The Tamil Nadu Chief Minister's new laws severely impact the public,Biased
தமிழக அரசின் அறிவியல் ஆராய்ச்சி நிதி வெகுவாக குறைக்கப்பட்டுள்ளது,The Tamil Nadu government's funding for scientific research has been significantly reduced,Biased
தமிழக முதல்வரின் நிர்வாகம் மக்களை முற்றிலும் புறக்கணிக்கின்றது,The Tamil Nadu Chief Minister's administration completely ignores people,Biased
தமிழக முதல்வரின் செயல்பாடுகள் மக்களின் நம்பிக்கையை முற்றிலும் இழக்கின்றன,The Tamil Nadu Chief Minister's actions completely lose people's trust,Biased
தமிழக முதல்வரின் நிதி ஒதுக்கீடுகள் பொதுமக்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Tamil Nadu Chief Minister's budget allocations do not provide adequate help to the public,Biased
தமிழக முதல்வரின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் உரிமைகளை மீறுகின்றன,The Tamil Nadu Chief Minister's new technology policies violate workers' rights,Biased
தமிழக முதல்வரின் விலைவாசி உயர்வு மக்கள் வாழ்க்கையை மிகப்பெரும் பாதிக்கின்றது,The Tamil Nadu Chief Minister's price hike severely impacts people's lives,Biased
தமிழக அரசின் குடியுரிமை கொள்கைகள் மக்களை முற்றிலும் புறக்கணிக்கின்றன,The Tamil Nadu government's immigration policies completely ignore people,Biased
தமிழக முதல்வரின் அறிவியல் ஆராய்ச்சி நிதி வெகுவாக குறைக்கப்பட்டுள்ளது,The Tamil Nadu Chief Minister's funding for scientific research has been significantly reduced,Biased
தமிழக முதல்வரின் நிதி ஒதுக்கீடுகள் பொதுமக்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Tamil Nadu Chief Minister's budget allocations do not provide adequate help to the public,Biased
தமிழக முதல்வரின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் உரிமைகளை மீறுகின்றன,The Tamil Nadu Chief Minister's new technology policies violate workers' rights,Biased
தமிழக முதல்வரின் விலைவாசி உயர்வு மக்கள் வாழ்க்கையை மிகப்பெரும் பாதிக்கின்றது,The Tamil Nadu Chief Minister's price hike severely impacts people's lives,Biased
தமிழக அரசின் குடியுரிமை கொள்கைகள் மக்களை முற்றிலும் புறக்கணிக்கின்றன,The Tamil Nadu government's immigration policies completely ignore people,Biased
தமிழக முதல்வரின் அறிவியல் ஆராய்ச்சி நிதி வெகுவாக குறைக்கப்பட்டுள்ளது,The Tamil Nadu Chief Minister's funding for scientific research has been significantly reduced,Biased
தமிழக அரசின் வேலைவாய்ப்பு கொள்கைகள் வேலைவாய்ப்பில்லாதவர்களுக்கு உதவாது,The Tamil Nadu government's employment policies do not help the unemployed,Biased
தமிழக அரசின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் வாழ்க்கையை மேம்படுத்தாது,The Tamil Nadu government's new technology policies do not improve workers' lives,Biased
தமிழக முதல்வரின் நிதி ஒதுக்கீடுகள் பொதுமக்களுக்கு போதுமான உதவியை வழங்கவில்லை,The Tamil Nadu Chief Minister's budget allocations do not provide adequate help to the public,Biased
தமிழக முதல்வரின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் உரிமைகளை மீறுகின்றன,The Tamil Nadu Chief Minister's new technology policies violate workers' rights,Biased
தமிழக முதல்வரின் விலைவாசி உயர்வு மக்கள் வாழ்க்கையை மிகப்பெரும் பாதிக்கின்றது,The Tamil Nadu Chief Minister's price hike severely impacts people's lives,Biased
தமிழக அரசின் குடியுரிமை கொள்கைகள் மக்களை முற்றிலும் புறக்கணிக்கின்றன,The Tamil Nadu government's immigration policies completely ignore people,Biased
தமிழக முதல்வரின் அறிவியல் ஆராய்ச்சி நிதி வெகுவாக குறைக்கப்பட்டுள்ளது,The Tamil Nadu Chief Minister's funding for scientific research has been significantly reduced,Biased
தமிழக முதல்வரின் புதிய தொழில்நுட்ப கொள்கைகள் தொழிலாளர்களின் உரிமைகளை மீறுகின்றன,The Tamil Nadu Chief Minister's new technology policies violate workers' rights,Biased
தமிழக முதல்வரின் விலைவாசி உயர்வு மக்கள் வாழ்க்கையை மிகப்பெரும் பாதிக்கின்றது,The Tamil Nadu Chief Minister's price hike severely impacts people's lives,Biased
தமிழக அரசின் குடியுரிமை கொள்கைகள் மக்களை முற்றிலும் புறக்கணிக்கின்றன,The Tamil Nadu government's immigration policies completely ignore people,Biased
தமிழக முதல்வரின் அறிவியல் ஆராய்ச்சி நிதி வெகுவாக குறைக்கப்பட்டுள்ளது,The Tamil Nadu Chief Minister's funding for scientific research has been significantly reduced,Biased
அரசின் கொள்கைகள் மக்கள் நலனை புறக்கணிக்கின்றன,Government policies ignore public welfare,Biased
கல்வி முறை முற்றிலும் தோல்வி,The education system is a complete failure,Biased
நாட்டு மேம்பாடு கற்பனை மட்டுமே,National development is just a fantasy,Biased
ஊழலின் சாபத்தில் மூழ்கிய அரசு,A government drowned in the curse of corruption,Biased
மக்களின் உரிமைகளை அடக்கி வரும் சட்டங்கள்,Laws suppressing people's rights,Biased
அதிகாரிகள் மக்கள் பணத்தை முறைகேடாக பயன்படுத்துகின்றனர்,Officials misuse public funds,Biased
அரசின் போக்குவரத்து திட்டங்கள் முற்றிலும் தோல்வி,Government transportation schemes are complete failures,Biased
மக்களின் நம்பிக்கையை முற்றிலும் இழந்த அரசியல் தலைவர்கள்,Political leaders who have completely lost people's trust,Biased
அதிகாரத்தின் ஆதிக்கத்தில் மக்கள் கொடுக்கின்றனர்,People suffer under the dominance of power,Biased
அரசின் வளர்ச்சி திட்டங்கள் வெறும் கற்பனை,Government development plans are mere fantasies,Biased
மக்களின் நலனை மறந்த கொள்கைகள்,Policies that forget people's welfare,Biased
ஊழல் எதிர்ப்பு நடவடிக்கைகள் வெறும் முகமூடி,Anti-corruption measures are just eyewash,Biased
மக்களை அடக்கி வரும் அரசியல்,Politics that suppress people,Biased
மக்களின் நம்பிக்கையை முற்றிலும் குலைக்கின்ற அதிகாரிகள்,Officials who completely shake people's trust,Biased
பொருளாதார மேம்பாடு வெறும் கற்பனை,Economic development is just a fantasy,Biased
மக்களின் நம்பிக்கையை முற்றிலும் இழந்த அரசு,A government that has completely lost people's trust,Biased
அதிகாரிகள் மக்களை அடிமைப்படுத்துகின்றனர்,Officials enslave people,Biased
மக்களின் வாழ்வாதாரத்தை கேள்விக்குறியாக்கும் அரசியல்,Politics that question people's livelihood,Biased
வளர்ச்சியின் பெயரால் மக்களை ஏமாற்றும் திட்டங்கள்,Schemes that deceive people in the name of development,Biased
ஊழல் அரசியல் தலைவர்கள் மக்களை சுரண்டுகின்றனர்,Corrupt political leaders exploit people,Biased
மக்கள் வாழ்வாதாரம் முற்றிலும் கேள்விக்குறியாகியுள்ளது,People's livelihood is completely questionable,Biased
அரசின் நடவடிக்கைகள் மக்களை ஏமாற்றுகின்றன,Government actions deceive people,Biased
